,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),surface_solar_radiation (W/m^2),,
1/1/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,7.02,0,,-16.85
1/1/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,7.32,0,,
1/1/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,8.19,0,,
1/1/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,8.53,0,,
1/1/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,8.78,0,,
1/1/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,9.19,0,,
1/1/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,9.7,0,,
1/1/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,10.31,0,,
1/1/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,11.09,0,,
1/1/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,13.27,0,,
1/1/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,13.42,0,,
1/1/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,13.16,0,,
1/1/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,13.21,10.69,,
1/1/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,13.32,72.39,,
1/1/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,13.27,106.24,,
1/1/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,12.84,242.39,,
1/1/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,11.95,262.14,,
1/1/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,11.44,364.55,,
1/1/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,10.84,354.54,,
1/1/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,9.99,255.45,,
1/1/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,8.93,116.08,,
1/1/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,7.63,12.6,,
1/1/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,7.14,0,,
1/2/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,6.69,0,,
1/2/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,6.44,0,,
1/2/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,6.09,0,,
1/2/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,5.3,0,,
1/2/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,5.18,0,,
1/2/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,4.84,0,,
1/2/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,4.04,0,,
1/2/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,3.81,0,,
1/2/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,3.4,0,,
1/2/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,2.87,0,,
1/2/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,1.96,0,,
1/2/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,1.78,0,,
1/2/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,1.79,0,,
1/2/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,1.5,13.4,,
1/2/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,1.7,100.43,,
1/2/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,2.43,215.3,,
1/2/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,2.61,288.11,,
1/2/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,2.97,360.9,,
1/2/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,3.13,344,,
1/2/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,3.26,286.56,,
1/2/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,3.35,186.01,,
1/2/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,3.27,85.05,,
1/2/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,2.7,11.13,,
1/2/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,2.44,0,,
1/3/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,2.31,0,,
1/3/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,2.51,0,,
1/3/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,2.89,0,,
1/3/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,3.66,0,,
1/3/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,3.94,0,,
1/3/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,4.2,0,,
1/3/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,4.41,0,,
1/3/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,4.53,0,,
1/3/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,4.61,0,,
1/3/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,4.91,0,,
1/3/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,4.93,0,,
1/3/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,4.83,0,,
1/3/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,4.98,0,,
1/3/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,4.88,8.2,,
1/3/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,5.14,66.75,,
1/3/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,6.2,171.1,,
1/3/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,6.64,289.43,,
1/3/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,6.35,371.72,,
1/3/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,6.66,408.76,,
1/3/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,6.53,338.92,,
1/3/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,6.26,273.15,,
1/3/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,5.85,139.23,,
1/3/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,4.7,17.99,,
1/3/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,4.38,0,,
1/4/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,3.9,0,,
1/4/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,3.57,0,,
1/4/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,3.31,0,,
1/4/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,2.78,0,,
1/4/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,2.55,0,,
1/4/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,2.21,0,,
1/4/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,1.8,0,,
1/4/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,1.95,0,,
1/4/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,1.8,0,,
1/4/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,1.65,0,,
1/4/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,0.39,0,,
1/4/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,0.34,0,,
1/4/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,0.34,0,,
1/4/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,0.46,14.81,,
1/4/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,1.24,120.46,,
1/4/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,3.49,240.69,,
1/4/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,4.49,334.61,,
1/4/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,5.42,366.03,,
1/4/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,6.22,338.68,,
1/4/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,6.79,271.11,,
1/4/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,7.06,177.78,,
1/4/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,7.14,78.17,,
1/4/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,6.83,10.96,,
1/4/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,6.73,0,,
1/5/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,6.48,0,,
1/5/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,6.29,0,,
1/5/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,6.29,0,,
1/5/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,6,0,,
1/5/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,5.7,0,,
1/5/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,5.92,0,,
1/5/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,5.9,0,,
1/5/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,6.09,0,,
1/5/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,6.12,0,,
1/5/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,6.02,0,,
1/5/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,6.28,0,,
1/5/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,6.29,0,,
1/5/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,6.42,0,,
1/5/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,6.57,2.82,,
1/5/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,6.79,20.11,,
1/5/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,7.1,40.62,,
1/5/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,7.13,56.87,,
1/5/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,7.01,46.29,,
1/5/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,7.18,64.48,,
1/5/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,7.19,56.87,,
1/5/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,7.01,23.82,,
1/5/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,6.92,11.02,,
1/5/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,6.71,1.34,,
1/5/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,6.69,0,,
1/6/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,6.96,0,,
1/6/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,6.97,0,,
1/6/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,6.19,0,,
1/6/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,5.27,0,,
1/6/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,4.75,0,,
1/6/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,4.28,0,,
1/6/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,4.02,0,,
1/6/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,3.68,0,,
1/6/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,3.68,0,,
1/6/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,3.68,0,,
1/6/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,3.75,0,,
1/6/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,4.08,0,,
1/6/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,4.4,0,,
1/6/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,4.89,12.86,,
1/6/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,5.76,95.91,,
1/6/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,7.59,234.91,,
1/6/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,8.19,360.32,,
1/6/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,8.7,362.34,,
1/6/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,8.93,294.25,,
1/6/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,8.66,332.8,,
1/6/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,8.12,280.92,,
1/6/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,7.04,132.31,,
1/6/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,5.96,18.42,,
1/6/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,4.83,0,,
1/7/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,4.08,0,,
1/7/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,3.39,0,,
1/7/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,2.39,0,,
1/7/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,1.07,0,,
1/7/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,0.78,0,,
1/7/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,0.28,0,,
1/7/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.34,0,,
1/7/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.67,0,,
1/7/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.05,0,,
1/7/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.68,0,,
1/7/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.88,0,,
1/7/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.87,0,,
1/7/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.01,0,,
1/7/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,-3,15.3,,
1/7/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.7,114.84,,
1/7/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.79,211.23,,
1/7/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.51,307.17,,
1/7/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.95,426.77,,
1/7/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.43,294.23,,
1/7/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.21,406.03,,
1/7/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,0.01,281.39,,
1/7/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.1,112.43,,
1/7/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.14,13.62,,
1/7/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.13,0,,
1/8/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.37,0,,
1/8/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.23,0,,
1/8/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.09,0,,
1/8/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,0.46,0,,
1/8/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,0.82,0,,
1/8/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,1.26,0,,
1/8/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,1.7,0,,
1/8/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,2.15,0,,
1/8/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,2.48,0,,
1/8/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,2.72,0,,
1/8/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,3.34,0,,
1/8/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,3.09,0,,
1/8/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,3.37,0,,
1/8/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,3.54,3.18,,
1/8/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,4.2,37.47,,
1/8/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,5.32,99.81,,
1/8/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,4.94,191.85,,
1/8/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,4.98,224,,
1/8/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,5.39,198.69,,
1/8/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,5.57,99.25,,
1/8/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,4.89,75.47,,
1/8/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,5.84,79.64,,
1/8/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,5.9,12.56,,
1/8/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,5.63,0,,
1/9/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,5.78,0,,
1/9/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,5.5,0,,
1/9/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,4.89,0,,
1/9/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,5.12,0,,
1/9/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,5.23,0,,
1/9/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,5.46,0,,
1/9/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,5.88,0,,
1/9/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,6.59,0,,
1/9/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,6.75,0,,
1/9/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,6.32,0,,
1/9/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,6,0,,
1/9/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,5.43,0,,
1/9/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,5.3,0,,
1/9/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,5.4,18.23,,
1/9/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,5.97,146.78,,
1/9/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,6.65,294.78,,
1/9/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,6.73,404.95,,
1/9/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,6.92,461.58,,
1/9/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,7.18,458.99,,
1/9/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,7.08,356.41,,
1/9/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,6.87,253.74,,
1/9/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,6.19,140.67,,
1/9/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,5.27,22.66,,
1/9/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,4.55,0,,
1/10/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,3.99,0,,
1/10/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,3.39,0,,
1/10/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,2.85,0,,
1/10/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,2.37,0,,
1/10/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,2.02,0,,
1/10/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,1.66,0,,
1/10/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,1.19,0,,
1/10/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,1.04,0,,
1/10/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,0.9,0,,
1/10/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,0.8,0,,
1/10/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,0.62,0,,
1/10/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,0.84,0,,
1/10/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,0.96,0,,
1/10/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,0.8,15.33,,
1/10/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,0.88,140.06,,
1/10/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,1.26,279.65,,
1/10/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,1.29,319.9,,
1/10/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,1.28,328.28,,
1/10/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,1.35,307.16,,
1/10/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,1.44,296.19,,
1/10/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,1.62,252.56,,
1/10/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,1.46,134.89,,
1/10/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,0.89,22.99,,
1/10/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,0.55,0,,
1/11/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,0.05,0,,
1/11/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.19,0,,
1/11/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.45,0,,
1/11/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.78,0,,
1/11/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.94,0,,
1/11/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.11,0,,
1/11/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.48,0,,
1/11/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.82,0,,
1/11/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.03,0,,
1/11/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.69,0,,
1/11/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.89,0,,
1/11/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,-4.09,0,,
1/11/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,-4.41,0,,
1/11/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,-4.42,20.05,,
1/11/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.98,153.17,,
1/11/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.93,302.41,,
1/11/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.41,417.14,,
1/11/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.63,479.3,,
1/11/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.17,483.45,,
1/11/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.61,424.72,,
1/11/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.32,316.17,,
1/11/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.44,170.02,,
1/11/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.51,29.76,,
1/11/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.04,0,,
1/12/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.69,0,,
1/12/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.28,0,,
1/12/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.81,0,,
1/12/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,-4.32,0,,
1/12/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,-4.46,0,,
1/12/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,-4.79,0,,
1/12/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.32,0,,
1/12/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.48,0,,
1/12/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.71,0,,
1/12/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.71,0,,
1/12/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,-6.23,0,,
1/12/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,-6.14,0,,
1/12/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.99,0,,
1/12/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.91,17.35,,
1/12/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.28,133.8,,
1/12/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.46,292.52,,
1/12/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.57,406.27,,
1/12/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.68,471.74,,
1/12/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.75,464.43,,
1/12/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.07,379.26,,
1/12/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,0.28,270.6,,
1/12/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,0.5,138.3,,
1/12/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,0.27,24.52,,
1/12/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,0.13,0,,
1/13/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.22,0,,
1/13/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.43,0,,
1/13/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.5,0,,
1/13/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.87,0,,
1/13/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.07,0,,
1/13/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.24,0,,
1/13/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.61,0,,
1/13/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.71,0,,
1/13/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.05,0,,
1/13/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.36,0,,
1/13/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.11,0,,
1/13/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.18,0,,
1/13/19 12:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.42,0,,
1/13/19 13:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.45,9.22,,
1/13/19 14:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.34,62.73,,
1/13/19 15:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.82,143.98,,
1/13/19 16:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.63,253.65,,
1/13/19 17:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.04,273.68,,
1/13/19 18:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.49,347.34,,
1/13/19 19:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.11,366.52,,
1/13/19 20:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.72,270.81,,
1/13/19 21:00,"(40.6943, -73.9249)",era5,14.59,-5,-0.5,149.53,,
1/13/19 22:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.07,30.14,,
1/13/19 23:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.46,0,,
1/14/19 0:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.33,0,,
1/14/19 1:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.47,0,,
1/14/19 2:00,"(40.6943, -73.9249)",era5,14.59,-5,-1.76,0,,
1/14/19 3:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.26,0,,
1/14/19 4:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.48,0,,
1/14/19 5:00,"(40.6943, -73.9249)",era5,14.59,-5,-2.7,0,,
1/14/19 6:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.13,0,,
1/14/19 7:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.36,0,,
1/14/19 8:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.59,0,,
1/14/19 9:00,"(40.6943, -73.9249)",era5,14.59,-5,-3.81,0,,
1/14/19 10:00,"(40.6943, -73.9249)",era5,14.59,-5,-4.96,0,,
1/14/19 11:00,"(40.6943, -73.9249)",era5,14.59,-5,-5.08,0,,
